iter	Passed	Remaining
0	213	213318
1	245	122724
2	271	90068
3	293	73166
4	320	63689
5	346	57481
6	372	52901
7	403	50027
8	435	47923
9	465	46089
10	489	44003
11	516	42494
12	542	41169
13	571	40284
14	600	39405
15	623	38345
16	646	37402
17	673	36730
18	703	36306
19	724	35517
20	749	34930
21	773	34366
22	800	34018
23	832	33868
24	867	33820
25	901	33762
26	935	33718
27	966	33548
28	1005	33679
29	1037	33553
30	1069	33418
31	1099	33271
32	1125	32970
33	1149	32672
34	1178	32489
35	1204	32249
36	1233	32112
37	1258	31871
38	1290	31795
39	1320	31687
40	1351	31613
41	1394	31816
42	1428	31790
43	1462	31768
44	1499	31823
45	1533	31809
46	1567	31777
47	1601	31768
48	1649	32012
49	1687	32068
50	1729	32176
51	1759	32085
52	1795	32081
53	1829	32055
54	1864	32028
55	1896	31964
56	1928	31910
57	1951	31702
58	1978	31560
59	2014	31554
60	2050	31559
61	2075	31394
62	2106	31331
63	2137	31255
64	2178	31342
65	2220	31430
66	2247	31291
67	2279	31247
68	2308	31146
69	2340	31096
70	2386	31222
71	2424	31253
72	2462	31269
73	2491	31183
74	2524	31129
75	2547	30968
76	2589	31044
77	2625	31038
78	2668	31109
79	2700	31052
80	2725	30924
81	2752	30810
82	2784	30760
83	2824	30805
84	2875	30958
85	2923	31073
86	2958	31044
87	2989	30985
88	3013	30849
89	3037	30715
90	3064	30610
91	3091	30512
92	3121	30444
93	3150	30362
94	3175	30251
95	3215	30283
96	3255	30309
97	3299	30368
98	3327	30282
99	3349	30147
100	3371	30006
101	3393	29875
102	3420	29785
103	3447	29699
104	3469	29575
105	3497	29499
106	3525	29419
107	3760	31057
108	3811	31157
109	3848	31136
110	3884	31113
111	3933	31186
112	3957	31062
113	3981	30940
114	4006	30833
115	4029	30709
116	4053	30588
117	4076	30468
118	4101	30365
119	4124	30243
120	4158	30207
121	4183	30108
122	4209	30011
123	4228	29871
124	4252	29764
125	4282	29704
126	4305	29593
127	4326	29472
128	4351	29382
129	4380	29316
130	4405	29221
131	4426	29105
132	4447	28991
133	4470	28894
134	4497	28816
135	4524	28746
136	4556	28702
137	4580	28611
138	4606	28533
139	4627	28425
140	4648	28320
141	4674	28241
142	4704	28194
143	4727	28103
144	4749	28003
145	4774	27928
146	4798	27843
147	4823	27768
148	4844	27671
149	4873	27614
150	4896	27527
151	4925	27478
152	4955	27432
153	4978	27348
154	5003	27277
155	5029	27212
156	5054	27142
157	5078	27064
158	5105	27005
159	5136	26964
160	5159	26885
161	5184	26819
162	5211	26758
163	5239	26709
164	5265	26648
165	5288	26570
166	5308	26481
167	5336	26428
168	5361	26362
169	5384	26289
170	5410	26227
171	5449	26231
172	5491	26248
173	5522	26216
174	5553	26182
175	5576	26108
176	5600	26039
177	5625	25977
178	5656	25945
179	5685	25898
180	5708	25830
181	5731	25758
182	5763	25729
183	5789	25673
184	5816	25625
185	5843	25573
186	5867	25508
187	5890	25440
188	5916	25386
189	5942	25335
190	5976	25313
191	6004	25270
192	6030	25215
193	6049	25132
194	6070	25058
195	6096	25007
196	6121	24950
197	6144	24886
198	6180	24877
199	6207	24828
200	6230	24767
201	6256	24714
202	6281	24661
203	6301	24588
204	6321	24514
205	6344	24455
206	6375	24422
207	6403	24381
208	6430	24335
209	6459	24299
210	6496	24292
211	6537	24300
212	6574	24292
213	6598	24236
214	6624	24188
215	6654	24154
216	6678	24096
217	6703	24045
218	6728	23995
219	6754	23948
220	6778	23893
221	6805	23848
222	6828	23792
223	6855	23748
224	6874	23679
225	6897	23623
226	6925	23584
227	6944	23515
228	6977	23491
229	7003	23446
230	7027	23393
231	7055	23354
232	7078	23300
233	7105	23258
234	7125	23195
235	7153	23159
236	7175	23102
237	7196	23041
238	7221	22995
239	7244	22942
240	7275	22912
241	7297	22856
242	7320	22805
243	7344	22755
244	7370	22713
245	7410	22713
246	7434	22664
247	7458	22616
248	7486	22580
249	7509	22529
250	7536	22489
251	7555	22426
252	7583	22391
253	7606	22339
254	7630	22293
255	7653	22243
256	7696	22251
257	7735	22246
258	7773	22239
259	7798	22194
260	7821	22146
261	7840	22084
262	7865	22041
263	7889	21996
264	7917	21959
265	7938	21904
266	7966	21870
267	7996	21840
268	8017	21786
269	8045	21752
270	8071	21711
271	8097	21671
272	8118	21620
273	8137	21560
274	8165	21528
275	8195	21499
276	8220	21456
277	8245	21414
278	8271	21376
279	8297	21336
280	8318	21285
281	8346	21250
282	8381	21233
283	8414	21213
284	8433	21157
285	8456	21112
286	8480	21069
287	8505	21027
288	8533	20993
289	8560	20958
290	8586	20919
291	8612	20882
292	8639	20845
293	8664	20807
294	8683	20752
295	8711	20719
296	8737	20681
297	8761	20639
298	8789	20606
299	8808	20554
300	8832	20512
301	8858	20474
302	8880	20429
303	8907	20393
304	8929	20347
305	8956	20312
306	8982	20277
307	9008	20240
308	9033	20200
309	9057	20160
310	9081	20120
311	9104	20076
312	9129	20038
313	9155	20002
314	9178	19960
315	9202	19919
316	9224	19875
317	9251	19841
318	9277	19805
319	9299	19761
320	9322	19718
321	9346	19679
322	9377	19655
323	9401	19615
324	9421	19567
325	9445	19529
326	9476	19503
327	9500	19465
328	9523	19423
329	9548	19385
330	9575	19352
331	9602	19320
332	9627	19283
333	9655	19252
334	9687	19229
335	9710	19189
336	9732	19146
337	9753	19103
338	9784	19078
339	9813	19050
340	9835	19006
341	9855	18962
342	9880	18925
343	9915	18908
344	9951	18893
345	9990	18883
346	10026	18868
347	10052	18833
348	10073	18790
349	10102	18762
350	10130	18731
351	10152	18689
352	10182	18663
353	10205	18623
354	10232	18592
355	10255	18551
356	10279	18513
357	10299	18470
358	10326	18438
359	10348	18397
360	10376	18366
361	10399	18328
362	10420	18286
363	10448	18256
364	10472	18219
365	10500	18189
366	10537	18175
367	10563	18141
368	10594	18117
369	10619	18081
370	10647	18051
371	10667	18008
372	10691	17971
373	10716	17936
374	10741	17902
375	10767	17868
376	10791	17833
377	10815	17797
378	10843	17766
379	10875	17744
380	10899	17708
381	10921	17668
382	10943	17629
383	10967	17594
384	10998	17569
385	11021	17531
386	11042	17490
387	11065	17454
388	11091	17420
389	11112	17381
390	11135	17343
391	11156	17303
392	11181	17270
393	11208	17239
394	11227	17197
395	11250	17160
396	11277	17129
397	11299	17090
398	11323	17056
399	11343	17015
400	11372	16987
401	11404	16965
402	11425	16926
403	11449	16890
404	11474	16857
405	11499	16824
406	11527	16795
407	11552	16762
408	11576	16728
409	11607	16703
410	11635	16675
411	11661	16643
412	11689	16614
413	11716	16584
414	11739	16548
415	11762	16512
416	11788	16480
417	11820	16458
418	11844	16424
419	11871	16393
420	11897	16362
421	11920	16326
422	11944	16293
423	11970	16261
424	11991	16224
425	12018	16194
426	12040	16158
427	12068	16129
428	12088	16090
429	12112	16056
430	12153	16044
431	12181	16016
432	12227	16011
433	12251	15977
434	12276	15945
435	12301	15912
436	12328	15883
437	12350	15846
438	12379	15820
439	12402	15784
440	12437	15765
441	12462	15733
442	12487	15701
443	12514	15671
444	12540	15640
445	12564	15606
446	12586	15571
447	12615	15544
448	12638	15509
449	12664	15478
450	12687	15444
451	12713	15413
452	12738	15381
453	12763	15349
454	12786	15315
455	12813	15286
456	12834	15249
457	12861	15220
458	12886	15188
459	12913	15159
460	12936	15125
461	12964	15097
462	12986	15061
463	13014	15034
464	13034	14996
465	13066	14972
466	13093	14944
467	13116	14909
468	13141	14879
469	13166	14847
470	13195	14820
471	13220	14788
472	13244	14756
473	13276	14733
474	13297	14697
475	13319	14662
476	13343	14630
477	13371	14602
478	13394	14569
479	13426	14545
480	13449	14512
481	13479	14486
482	13498	14449
483	13522	14416
484	13544	14382
485	13569	14351
486	13596	14322
487	13615	14285
488	13640	14254
489	13661	14219
490	13679	14181
491	13709	14155
492	13733	14123
493	13760	14094
494	13785	14063
495	13810	14033
496	13840	14008
497	13869	13980
498	13892	13948
499	13920	13920
500	13941	13885
501	13970	13858
502	13995	13828
503	14028	13806
504	14059	13781
505	14084	13750
506	14103	13714
507	14133	13688
508	14157	13657
509	14177	13621
510	14200	13589
511	14219	13553
512	14251	13529
513	14270	13493
514	14293	13461
515	14313	13425
516	14335	13392
517	14367	13368
518	14400	13346
519	14436	13325
520	14466	13300
521	14492	13270
522	14514	13237
523	14540	13208
524	14578	13189
525	14607	13163
526	14633	13133
527	14660	13106
528	14685	13075
529	14709	13044
530	14732	13012
531	14753	12978
532	14771	12942
533	14800	12915
534	14826	12886
535	14847	12852
536	14870	12821
537	14896	12792
538	14921	12762
539	14945	12731
540	14968	12699
541	14991	12668
542	15015	12637
543	15044	12611
544	15070	12581
545	15093	12550
546	15122	12523
547	15146	12493
548	15168	12460
549	15200	12436
550	15225	12406
551	15246	12374
552	15264	12338
553	15291	12310
554	15314	12279
555	15333	12244
556	15359	12215
557	15386	12188
558	15414	12160
559	15446	12136
560	15476	12110
561	15500	12080
562	15529	12054
563	15554	12024
564	15581	11996
565	15607	11967
566	15632	11937
567	15658	11909
568	15677	11875
569	15701	11845
570	15730	11818
571	15757	11790
572	15780	11759
573	15808	11732
574	15832	11702
575	15863	11677
576	15888	11648
577	15907	11614
578	15933	11585
579	15954	11553
580	15980	11524
581	16003	11493
582	16026	11463
583	16051	11433
584	16076	11405
585	16102	11376
586	16125	11345
587	16156	11320
588	16177	11288
589	16200	11258
590	16227	11230
591	16262	11207
592	16285	11177
593	16309	11147
594	16331	11116
595	16354	11085
596	16382	11058
597	16404	11027
598	16430	10999
599	16472	10981
600	16497	10952
601	16519	10921
602	16541	10890
603	16573	10866
604	16611	10845
605	16656	10829
606	16681	10800
607	16703	10769
608	16727	10739
609	16751	10710
610	16771	10677
611	16804	10653
612	16830	10625
613	16853	10595
614	16877	10565
615	16899	10534
616	16921	10503
617	16939	10470
618	16965	10442
619	16989	10412
620	17016	10385
621	17048	10360
622	17073	10331
623	17102	10305
624	17125	10275
625	17149	10245
626	17171	10215
627	17196	10186
628	17218	10156
629	17236	10123
630	17260	10093
631	17283	10063
632	17312	10037
633	17335	10007
634	17354	9975
635	17379	9946
636	17400	9916
637	17431	9890
638	17462	9865
639	17484	9835
640	17512	9807
641	17534	9777
642	17565	9752
643	17592	9725
644	17616	9695
645	17642	9667
646	17666	9638
647	17691	9610
648	17712	9579
649	17734	9549
650	17761	9521
651	17782	9491
652	17806	9462
653	17830	9433
654	17862	9408
655	17890	9381
656	17914	9352
657	17944	9326
658	17966	9296
659	17992	9268
660	18017	9240
661	18048	9214
662	18080	9190
663	18107	9162
664	18130	9133
665	18153	9104
666	18176	9074
667	18201	9046
668	18221	9015
669	18253	8990
670	18279	8962
671	18298	8931
672	18317	8900
673	18341	8871
674	18361	8840
675	18391	8814
676	18414	8785
677	18440	8757
678	18468	8731
679	18492	8702
680	18518	8674
681	18543	8646
682	18574	8620
683	18612	8598
684	18637	8570
685	18667	8544
686	18690	8515
687	18717	8488
688	18739	8458
689	18765	8430
690	18798	8406
691	18835	8383
692	18871	8359
693	18899	8333
694	18928	8306
695	18956	8279
696	18978	8250
697	19000	8220
698	19026	8193
699	19049	8164
700	19078	8137
701	19099	8107
702	19120	8077
703	19147	8050
704	19166	8019
705	19189	7991
706	19214	7962
707	19238	7934
708	19258	7904
709	19281	7875
710	19300	7845
711	19327	7817
712	19353	7790
713	19377	7762
714	19399	7732
715	19425	7705
716	19459	7680
717	19478	7650
718	19507	7623
