iter	Passed	Remaining
0	271	271384
1	405	202176
2	483	160574
3	548	136622
4	621	123651
5	688	114012
6	799	113416
7	888	110174
8	955	105242
9	1015	100497
10	1092	98242
11	1172	96516
12	1219	92596
13	1264	89028
14	1309	86000
15	1439	88517
16	1494	86402
17	1551	84632
18	1596	82444
19	1643	80515
20	1686	78636
21	1736	77193
22	1786	75869
23	1833	74567
24	1875	73149
25	1922	72028
26	1967	70908
27	2011	69819
28	2063	69088
29	2101	67945
30	2153	67307
31	2210	66868
32	2263	66318
33	2308	65585
34	2371	65375
35	2426	64966
36	2472	64345
37	2521	63845
38	2570	63330
39	2630	63123
40	2685	62804
41	2739	62484
42	2785	62000
43	2839	61691
44	2888	61302
45	2930	60785
46	2975	60334
47	3015	59809
48	3064	59470
49	3103	58971
50	3152	58670
51	3193	58214
52	3238	57858
53	3275	57373
54	3318	57023
55	3363	56701
56	3412	56455
57	3461	56214
58	3505	55908
59	3565	55858
60	3609	55557
61	3662	55416
62	3708	55157
63	3774	55195
64	3821	54977
65	3866	54715
66	3921	54604
67	3968	54386
68	4016	54198
69	4062	53975
70	4101	53670
71	4147	53462
72	4191	53220
73	4228	52908
74	4264	52590
75	4299	52277
76	4342	52058
77	4380	51776
78	4421	51544
79	4458	51273
80	4497	51032
81	4544	50877
82	4592	50738
83	4636	50564
84	4691	50499
85	4756	50549
86	4809	50472
87	4860	50371
88	4908	50243
89	4944	49996
90	4986	49806
91	5025	49603
92	5071	49458
93	5127	49423
94	5192	49461
95	5240	49344
96	5282	49175
97	5323	49000
98	5366	48840
99	5403	48627
100	5445	48468
101	5484	48281
102	5526	48129
103	5573	48016
104	5614	47854
105	5666	47790
106	5717	47714
107	5784	47773
108	5831	47665
109	5878	47558
110	5917	47391
111	5952	47198
112	5992	47039
113	6032	46881
114	6068	46703
115	6103	46515
116	6149	46410
117	6203	46365
118	6240	46197
119	6284	46086
120	6328	45971
121	6396	46033
122	6456	46038
123	6531	46144
124	6589	46126
125	6664	46230
126	6731	46270
127	6812	46409
128	6871	46394
129	6947	46493
